anio,semana,consecutivo,clave_incendio,tipo_atencion,ifae,longitud_grados,longitud_minutos,longitud_segundos,latitud_grados,latitud_minutos,latitud_segundos,cve_municipio,entidad,municipio,predio_paraje,posible_causa,posible_causa_especifica,fecha_inicio,fecha_liquidacion,categoria_duracion_dias,deteccion,llegada,duracion,tipo_incendio,tipo_vegetacion,zona_bioclimatica,regimen_fuego,clasf_primer_orden,arbolado_adulto,renuevo,arbustivo,herbaceo,hojarasca,total_ha,clasificacion_sup_afectada,area_natural_protegida,ha_anp,categoria_anp,tipo_anp,combatiente_oficial,combatiente_rural_estatal,combatiente_rural_municipal,servicios_ambientales,proteccion_forestal,combatiente_rural_nucleo_agrario,conafor_otros,conanp_oficiales,conanp_otros,sedena,semar,guardia_nacional,otras_instancias_federales,gob_estatal,pc_estatal,gob_municipal,pc_municipal,voluntarios,propietarios,ongs,silvicultores,sector_privado,ap_forestal,total_combatientes,costo_estimado_incendio,ala_fija,helicoptero,cantidad,instancias_equipo_aereo,dron,intermunicipal,intermunicipal1,interestatal,interestatal1,clave_interestatal,crmf
2025,4,1,25-01-0001,Combate,Incendio Forestal,102,11,10.28,21,50,48.55,1,Aguascalientes,Aguascalientes,Ejido Calvillo,Desconocidas,Desconocidas,2025-01-18,2025-01-18,1 Día,00:17:00,00:30:00,03:45:00,Superficial,Pastizal Natural,Templada semiárida,Dependiente,Impacto Moderado,0.0,0.0,1.5997,3.7324,0.0,5.3321,0 a 5 Hectáreas,1-N/A,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,1590.0,0,0,0,0,0,0,,0,,0,Occidente
2025,4,2,25-01-0002,Combate,Incendio Forestal,102,16,6.56,21,53,11.6,1,Aguascalientes,Aguascalientes,La Pona,Intencional,Vandalismo,2025-01-21,2025-01-21,1 Día,00:20:00,00:25:00,01:25:00,Superficial,Pastizal Natural,Templada semiárida,Dependiente,Impacto Mínimo,0.0,0.0,0.3767,0.8791,0.0,1.2558,0 a 5 Hectáreas,La Pona,0.0381,Zona de Preservación Ecológica,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,1194.0,0,0,0,0,0,0,,0,,0,Occidente
2025,5,3,25-01-0003,Combate,Incendio Forestal,102,29,14.68,21,55,19.72,5,Aguascalientes,Jesús María,Ejido Gracias a Dios,Desconocidas,Desconocidas,2025-01-24,2025-01-24,1 Día,00:17:00,00:25:00,02:36:00,Superficial,Pastizal Natural,Templada semiárida,Dependiente,Impacto Moderado,0.0,0.0,2.8498,6.6498,0.0,9.4996,6 a 10 Hectáreas,1-N/A,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,11,2410.0,0,0,0,0,0,0,,0,,0,Occidente
2025,6,4,25-01-0004,Combate,Incendio Forestal,102,25,17.01,21,47,8.75,1,Aguascalientes,Aguascalientes,Cabecita Tres Marías,Actividades agrícolas,Quema para preparación de siembra,2025-02-01,2025-02-01,1 Día,00:20:00,00:45:00,04:45:00,Superficial,Pastizal Natural,Templada semiárida,Dependiente,Impacto Moderado,0.0,0.0,9.5281,28.5844,0.0,38.1125,21 a 50 Hectáreas,1-N/A,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,7,2246.0,0,0,0,0,0,0,,0,,0,Occidente
2025,6,5,25-01-0005,Combate,Incendio Forestal,101,58,27.2,22,2,53.84,2,Aguascalientes,Asientos,Pilotos,Desconocidas,Desconocidas,2025-02-03,2025-02-03,1 Día,00:40:00,01:40:00,04:50:00,Superficial,Pastizal Natural,Templada semiárida,Dependiente,Impacto Mínimo,0.0,0.0,5.6878,22.7517,0.0,28.4395,21 a 50 Hectáreas,1-N/A,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,1512.0,0,0,0,0,0,0,,0,,0,Occidente
2025,6,6,25-01-0006,Combate,Incendio Forestal,102,15,33.81,21,49,50.23,1,Aguascalientes,Aguascalientes,Bosque de cobos,Desconocidas,Desconocidas,2025-02-05,2025-02-05,1 Día,00:34:00,01:04:00,03:34:00,Superficial,Pastizal Natural,Templada semiárida,Dependiente,Impacto Mínimo,0.0,0.0,3.7791,8.8418,0.0,12.6209,11 a 20 Hectáreas,Cobos,1.5184,Zona de Conservación Ecológica de los Centros de Población,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,7,1474.0,0,0,0,0,0,0,,0,,0,Occidente
2025,6,7,25-01-0007,Combate,Incendio Forestal,102,0,40.4,22,3,30.4,2,Aguascalientes,Asientos,El Águila,Desconocidas,Desconocidas,2025-02-06,2025-02-06,1 Día,00:40:00,01:15:00,02:30:00,Superficial,Pastizal Natural,Templada semiárida,Dependiente,Impacto Mínimo,0.0,0.0,0.0,2.0737,0.0,2.0737,0 a 5 Hectáreas,1-N/A,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,1690.0,0,0,0,0,0,0,,0,,0,Occidente
2025,6,8,25-01-0008,Combate,Incendio Forestal,102,14,51.95,21,44,40.73,1,Aguascalientes,Aguascalientes,Cotorina,Desconocidas,Desconocidas,2025-02-06,2025-02-06,1 Día,01:32:00,01:55:00,08:20:00,Superficial,Pastizal Natural,Templada semiárida,Dependiente,Impacto Mínimo,0.0,0.0,27.2883,109.1534,0.0,136.4417,Mayor a 100 Hectáreas,1-N/A,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,1734.0,0,0,0,0,0,0,,0,,0,Occidente
2025,7,9,25-01-0009,Combate,Incendio Forestal,102,13,23.38,21,51,53.19,1,Aguascalientes,Aguascalientes,El Soyatal,Desconocidas,Desconocidas,2025-02-05,2025-02-08,4 a 7 Días,72:20:00,72:35:00,78:00:00,Superficial,Matorral Crasicaule,Cálida semiárida,Sensible,Impacto Moderado,0.0,0.0,59.7855,39.8568,0.0,99.6423,51 a 100 Hectáreas,1-N/A,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,1324.0,0,0,0,0,0,0,,0,,0,Occidente
2025,7,10,25-01-0010,Combate,Incendio Forestal,102,28,28.2,21,54,45.28,5,Aguascalientes,Jesús María,Ejido Buena Vista,Desconocidas,Desconocidas,2025-02-09,2025-02-09,1 Día,00:46:00,01:26:00,08:29:00,Superficial,Pastizal Natural,Templada semiárida,Dependiente,Impacto Mínimo,0.0,0.0,39.1352,352.4185,0.0,391.5537,Mayor a 100 Hectáreas,1-N/A,0.0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,50,0,0,0,0,67,12853.0,0,0,0,0,0,0,,0,,0,Occidente
2025,7,11,25-01-0011,Combate,Incendio Forestal,102,5,46.04,22,14,14.62,2,Aguascalientes,Asientos,Asientos,Desconocidas,Desconocidas,2025-02-10,2025-02-10,1 Día,00:20:00,00:40:00,02:45:00,Superficial,Matorral Crasicaule,Cálida semiárida,Sensible,Impacto Mínimo,0.0,0.0,1.0606,0.3536,0.0,1.4142,0 a 5 Hectáreas,1-N/A,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,2383.0,0,0,0,0,0,0,,0,,0,Occidente
2025,7,12,25-01-0012,Combate,Incendio Forestal,102,22,10.99,22,1,26.02,5,Aguascalientes,Jesús María,El Gavilán,Desconocidas,Desconocidas,2025-02-11,2025-02-12,2 a 3 Días,00:40:00,02:50:00,27:55:00,Superficial,Bosque de Encino,Cálida subhúmeda,Dependiente,Impacto Mínimo,1.9184,0.0,3.8369,32.6136,0.0,38.3689,21 a 50 Hectáreas,1-N/A,0.0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,12,0,14,12,1,0,0,0,0,0,55,25057.0,0,0,0,0,0,0,,0,,0,Occidente
